ID,Name,CountryCode,District,Info
1,Kabul,AFG,Kabol,"{"Population": 1780000}"
2,Qandahar,AFG,Qandahar,"{"Population": 237500}"
3,Herat,AFG,Herat,"{"Population": 186800}"
4,Mazar-e-Sharif,AFG,Balkh,"{"Population": 127800}"
5,Amsterdam,NLD,Noord-Holland,"{"Population": 731200}"
6,Rotterdam,NLD,Zuid-Holland,"{"Population": 593321}"
7,Haag,NLD,Zuid-Holland,"{"Population": 440900}"
8,Utrecht,NLD,Utrecht,"{"Population": 234323}"
9,Eindhoven,NLD,Noord-Brabant,"{"Population": 201843}"
10,Tilburg,NLD,Noord-Brabant,"{"Population": 193238}"
11,Groningen,NLD,Groningen,"{"Population": 172701}"
12,Breda,NLD,Noord-Brabant,"{"Population": 160398}"
13,Apeldoorn,NLD,Gelderland,"{"Population": 153491}"
14,Nijmegen,NLD,Gelderland,"{"Population": 152463}"
15,Enschede,NLD,Overijssel,"{"Population": 149544}"
16,Haarlem,NLD,Noord-Holland,"{"Population": 148772}"
17,Almere,NLD,Flevoland,"{"Population": 142465}"
18,Arnhem,NLD,Gelderland,"{"Population": 138020}"
19,Zaanstad,NLD,Noord-Holland,"{"Population": 135621}"
20,´s-Hertogenbosch,NLD,Noord-Brabant,"{"Population": 129170}"
21,Amersfoort,NLD,Utrecht,"{"Population": 126270}"
22,Maastricht,NLD,Limburg,"{"Population": 122087}"
23,Dordrecht,NLD,Zuid-Holland,"{"Population": 119811}"
24,Leiden,NLD,Zuid-Holland,"{"Population": 117196}"
25,Haarlemmermeer,NLD,Noord-Holland,"{"Population": 110722}"
26,Zoetermeer,NLD,Zuid-Holland,"{"Population": 110214}"
27,Emmen,NLD,Drenthe,"{"Population": 105853}"
28,Zwolle,NLD,Overijssel,"{"Population": 105819}"
29,Ede,NLD,Gelderland,"{"Population": 101574}"
30,Delft,NLD,Zuid-Holland,"{"Population": 95268}"
31,Heerlen,NLD,Limburg,"{"Population": 95052}"
32,Alkmaar,NLD,Noord-Holland,"{"Population": 92713}"
33,Willemstad,ANT,Curaçao,"{"Population": 2345}"
34,Tirana,ALB,Tirana,"{"Population": 270000}"
35,Alger,DZA,Alger,"{"Population": 2168000}"
36,Oran,DZA,Oran,"{"Population": 609823}"
37,Constantine,DZA,Constantine,"{"Population": 443727}"
38,Annaba,DZA,Annaba,"{"Population": 222518}"
39,Batna,DZA,Batna,"{"Population": 183377}"
40,Sétif,DZA,Sétif,"{"Population": 179055}"
41,"Sidi Bel Abbès",DZA,"Sidi Bel Abbès","{"Population": 153106}"
42,Skikda,DZA,Skikda,"{"Population": 128747}"
43,Biskra,DZA,Biskra,"{"Population": 128281}"
44,"Blida (el-Boulaida)",DZA,Blida,"{"Population": 127284}"
45,Béjaïa,DZA,Béjaïa,"{"Population": 117162}"
46,Mostaganem,DZA,Mostaganem,"{"Population": 115212}"
47,Tébessa,DZA,Tébessa,"{"Population": 112007}"
48,"Tlemcen (Tilimsen)",DZA,Tlemcen,"{"Population": 110242}"
49,Béchar,DZA,Béchar,"{"Population": 107311}"
50,Tiaret,DZA,Tiaret,"{"Population": 100118}"
51,"Ech-Chleff (el-Asnam)",DZA,Chlef,"{"Population": 96794}"
52,Ghardaïa,DZA,Ghardaïa,"{"Population": 89415}"
53,Tafuna,ASM,Tutuila,"{"Population": 5200}"
54,Fagatogo,ASM,Tutuila,"{"Population": 2323}"
55,"Andorra la Vella",AND,"Andorra la Vella","{"Population": 21189}"
56,Luanda,AGO,Luanda,"{"Population": 2022000}"
57,Huambo,AGO,Huambo,"{"Population": 163100}"
58,Lobito,AGO,Benguela,"{"Population": 130000}"
59,Benguela,AGO,Benguela,"{"Population": 128300}"
60,Namibe,AGO,Namibe,"{"Population": 118200}"
61,"South Hill",AIA,–,"{"Population": 961}"
62,"The Valley",AIA,–,"{"Population": 595}"
63,"Saint John´s",ATG,"St John","{"Population": 24000}"
64,Dubai,ARE,Dubai,"{"Population": 669181}"
65,"Abu Dhabi",ARE,"Abu Dhabi","{"Population": 398695}"
66,Sharja,ARE,Sharja,"{"Population": 320095}"
67,al-Ayn,ARE,"Abu Dhabi","{"Population": 225970}"
68,Ajman,ARE,Ajman,"{"Population": 114395}"
69,"Buenos Aires",ARG,"Distrito Federal","{"Population": 2982146}"
70,"La Matanza",ARG,"Buenos Aires","{"Population": 1266461}"
71,Córdoba,ARG,Córdoba,"{"Population": 1157507}"
72,Rosario,ARG,"Santa Fé","{"Population": 907718}"
73,"Lomas de Zamora",ARG,"Buenos Aires","{"Population": 622013}"
74,Quilmes,ARG,"Buenos Aires","{"Population": 559249}"
75,"Almirante Brown",ARG,"Buenos Aires","{"Population": 538918}"
76,"La Plata",ARG,"Buenos Aires","{"Population": 521936}"
77,"Mar del Plata",ARG,"Buenos Aires","{"Population": 512880}"
78,"San Miguel de Tucumán",ARG,Tucumán,"{"Population": 470809}"
79,Lanús,ARG,"Buenos Aires","{"Population": 469735}"
80,Merlo,ARG,"Buenos Aires","{"Population": 463846}"
81,"General San Martín",ARG,"Buenos Aires","{"Population": 422542}"
82,Salta,ARG,Salta,"{"Population": 367550}"
83,Moreno,ARG,"Buenos Aires","{"Population": 356993}"
84,"Santa Fé",ARG,"Santa Fé","{"Population": 353063}"
85,Avellaneda,ARG,"Buenos Aires","{"Population": 353046}"
86,"Tres de Febrero",ARG,"Buenos Aires","{"Population": 352311}"
87,Morón,ARG,"Buenos Aires","{"Population": 349246}"
88,"Florencio Varela",ARG,"Buenos Aires","{"Population": 315432}"
89,"San Isidro",ARG,"Buenos Aires","{"Population": 306341}"
90,Tigre,ARG,"Buenos Aires","{"Population": 296226}"
91,"Malvinas Argentinas",ARG,"Buenos Aires","{"Population": 290335}"
92,"Vicente López",ARG,"Buenos Aires","{"Population": 288341}"
93,Berazategui,ARG,"Buenos Aires","{"Population": 276916}"
94,Corrientes,ARG,Corrientes,"{"Population": 258103}"
95,"San Miguel",ARG,"Buenos Aires","{"Population": 248700}"
96,"Bahía Blanca",ARG,"Buenos Aires","{"Population": 239810}"
97,"Esteban Echeverría",ARG,"Buenos Aires","{"Population": 235760}"
98,Resistencia,ARG,Chaco,"{"Population": 229212}"
99,"José C. Paz",ARG,"Buenos Aires","{"Population": 221754}"
100,Paraná,ARG,"Entre Rios","{"Population": 207041}"
101,"Godoy Cruz",ARG,Mendoza,"{"Population": 206998}"
102,Posadas,ARG,Misiones,"{"Population": 201273}"
103,Guaymallén,ARG,Mendoza,"{"Population": 200595}"
104,"Santiago del Estero",ARG,"Santiago del Estero","{"Population": 189947}"
105,"San Salvador de Jujuy",ARG,Jujuy,"{"Population": 178748}"
106,Hurlingham,ARG,"Buenos Aires","{"Population": 170028}"
107,Neuquén,ARG,Neuquén,"{"Population": 167296}"
108,Ituzaingó,ARG,"Buenos Aires","{"Population": 158197}"
109,"San Fernando",ARG,"Buenos Aires","{"Population": 153036}"
110,Formosa,ARG,Formosa,"{"Population": 147636}"
111,"Las Heras",ARG,Mendoza,"{"Population": 145823}"
112,"La Rioja",ARG,"La Rioja","{"Population": 138117}"
113,"San Fernando del Valle de Cata",ARG,Catamarca,"{"Population": 134935}"
114,"Río Cuarto",ARG,Córdoba,"{"Population": 134355}"
115,"Comodoro Rivadavia",ARG,Chubut,"{"Population": 124104}"
116,Mendoza,ARG,Mendoza,"{"Population": 123027}"
117,"San Nicolás de los Arroyos",ARG,"Buenos Aires","{"Population": 119302}"
118,"San Juan",ARG,"San Juan","{"Population": 119152}"
119,Escobar,ARG,"Buenos Aires","{"Population": 116675}"
120,Concordia,ARG,"Entre Rios","{"Population": 116485}"
121,Pilar,ARG,"Buenos Aires","{"Population": 113428}"
122,"San Luis",ARG,"San Luis","{"Population": 110136}"
123,Ezeiza,ARG,"Buenos Aires","{"Population": 99578}"
124,"San Rafael",ARG,Mendoza,"{"Population": 94651}"
125,Tandil,ARG,"Buenos Aires","{"Population": 91101}"
126,Yerevan,ARM,Yerevan,"{"Population": 1248700}"
127,Gjumri,ARM,Širak,"{"Population": 211700}"
128,Vanadzor,ARM,Lori,"{"Population": 172700}"
129,Oranjestad,ABW,–,"{"Population": 29034}"
130,Sydney,AUS,"New South Wales","{"Population": 3276207}"
131,Melbourne,AUS,Victoria,"{"Population": 2865329}"
132,Brisbane,AUS,Queensland,"{"Population": 1291117}"
133,Perth,AUS,"West Australia","{"Population": 1096829}"
134,Adelaide,AUS,"South Australia","{"Population": 978100}"
135,Canberra,AUS,"Capital Region","{"Population": 322723}"
136,"Gold Coast",AUS,Queensland,"{"Population": 311932}"
137,Newcastle,AUS,"New South Wales","{"Population": 270324}"
138,"Central Coast",AUS,"New South Wales","{"Population": 227657}"
139,Wollongong,AUS,"New South Wales","{"Population": 219761}"
140,Hobart,AUS,Tasmania,"{"Population": 126118}"
141,Geelong,AUS,Victoria,"{"Population": 125382}"
142,Townsville,AUS,Queensland,"{"Population": 109914}"
143,Cairns,AUS,Queensland,"{"Population": 92273}"
144,Baku,AZE,Baki,"{"Population": 1787800}"
145,Gäncä,AZE,Gäncä,"{"Population": 299300}"
146,Sumqayit,AZE,Sumqayit,"{"Population": 283000}"
147,Mingäçevir,AZE,Mingäçevir,"{"Population": 93900}"
148,Nassau,BHS,"New Providence","{"Population": 172000}"
149,al-Manama,BHR,al-Manama,"{"Population": 148000}"
150,Dhaka,BGD,Dhaka,"{"Population": 3612850}"
151,Chittagong,BGD,Chittagong,"{"Population": 1392860}"
152,Khulna,BGD,Khulna,"{"Population": 663340}"
153,Rajshahi,BGD,Rajshahi,"{"Population": 294056}"
154,Narayanganj,BGD,Dhaka,"{"Population": 202134}"
155,Rangpur,BGD,Rajshahi,"{"Population": 191398}"
156,Mymensingh,BGD,Dhaka,"{"Population": 188713}"
157,Barisal,BGD,Barisal,"{"Population": 170232}"
158,Tungi,BGD,Dhaka,"{"Population": 168702}"
159,Jessore,BGD,Khulna,"{"Population": 139710}"
160,Comilla,BGD,Chittagong,"{"Population": 135313}"
161,Nawabganj,BGD,Rajshahi,"{"Population": 130577}"
162,Dinajpur,BGD,Rajshahi,"{"Population": 127815}"
163,Bogra,BGD,Rajshahi,"{"Population": 120170}"
164,Sylhet,BGD,Sylhet,"{"Population": 117396}"
165,Brahmanbaria,BGD,Chittagong,"{"Population": 109032}"
166,Tangail,BGD,Dhaka,"{"Population": 106004}"
167,Jamalpur,BGD,Dhaka,"{"Population": 103556}"
168,Pabna,BGD,Rajshahi,"{"Population": 103277}"
169,Naogaon,BGD,Rajshahi,"{"Population": 101266}"
170,Sirajganj,BGD,Rajshahi,"{"Population": 99669}"
171,Narsinghdi,BGD,Dhaka,"{"Population": 98342}"
172,Saidpur,BGD,Rajshahi,"{"Population": 96777}"
173,Gazipur,BGD,Dhaka,"{"Population": 96717}"
174,Bridgetown,BRB,"St Michael","{"Population": 6070}"
175,Antwerpen,BEL,Antwerpen,"{"Population": 446525}"
176,Gent,BEL,"East Flanderi","{"Population": 224180}"
177,Charleroi,BEL,Hainaut,"{"Population": 200827}"
178,Liège,BEL,Liège,"{"Population": 185639}"
179,"Bruxelles [Brussel]",BEL,Bryssel,"{"Population": 133859}"
180,Brugge,BEL,"West Flanderi","{"Population": 116246}"
181,Schaerbeek,BEL,Bryssel,"{"Population": 105692}"
182,Namur,BEL,Namur,"{"Population": 105419}"
183,Mons,BEL,Hainaut,"{"Population": 90935}"
184,"Belize City",BLZ,"Belize City","{"Population": 55810}"
185,Belmopan,BLZ,Cayo,"{"Population": 7105}"
186,Cotonou,BEN,Atlantique,"{"Population": 536827}"
187,Porto-Novo,BEN,Ouémé,"{"Population": 194000}"
188,Djougou,BEN,Atacora,"{"Population": 134099}"
189,Parakou,BEN,Borgou,"{"Population": 103577}"
190,"Saint George",BMU,"Saint George´s","{"Population": 1800}"
191,Hamilton,BMU,Hamilton,"{"Population": 1200}"
192,Thimphu,BTN,Thimphu,"{"Population": 22000}"
193,"Santa Cruz de la Sierra",BOL,"Santa Cruz","{"Population": 935361}"
194,"La Paz",BOL,"La Paz","{"Population": 758141}"
195,"El Alto",BOL,"La Paz","{"Population": 534466}"
196,Cochabamba,BOL,Cochabamba,"{"Population": 482800}"
197,Oruro,BOL,Oruro,"{"Population": 223553}"
198,Sucre,BOL,Chuquisaca,"{"Population": 178426}"
199,Potosí,BOL,Potosí,"{"Population": 140642}"
200,Tarija,BOL,Tarija,"{"Population": 125255}"
201,Sarajevo,BIH,Federaatio,"{"Population": 360000}"
202,"Banja Luka",BIH,"Republika Srpska","{"Population": 143079}"
203,Zenica,BIH,Federaatio,"{"Population": 96027}"
204,Gaborone,BWA,Gaborone,"{"Population": 213017}"
205,Francistown,BWA,Francistown,"{"Population": 101805}"
206,"São Paulo",BRA,"São Paulo","{"Population": 9968485}"
207,"Rio de Janeiro",BRA,"Rio de Janeiro","{"Population": 5598953}"
208,Salvador,BRA,Bahia,"{"Population": 2302832}"
209,"Belo Horizonte",BRA,"Minas Gerais","{"Population": 2139125}"
210,Fortaleza,BRA,Ceará,"{"Population": 2097757}"
211,Brasília,BRA,"Distrito Federal","{"Population": 1969868}"
212,Curitiba,BRA,Paraná,"{"Population": 1584232}"
213,Recife,BRA,Pernambuco,"{"Population": 1378087}"
214,"Porto Alegre",BRA,"Rio Grande do Sul","{"Population": 1314032}"
215,Manaus,BRA,Amazonas,"{"Population": 1255049}"
216,Belém,BRA,Pará,"{"Population": 1186926}"
217,Guarulhos,BRA,"São Paulo","{"Population": 1095874}"
218,Goiânia,BRA,Goiás,"{"Population": 1056330}"
219,Campinas,BRA,"São Paulo","{"Population": 950043}"
220,"São Gonçalo",BRA,"Rio de Janeiro","{"Population": 869254}"
221,"Nova Iguaçu",BRA,"Rio de Janeiro","{"Population": 862225}"
222,"São Luís",BRA,Maranhão,"{"Population": 837588}"
223,Maceió,BRA,Alagoas,"{"Population": 786288}"
224,"Duque de Caxias",BRA,"Rio de Janeiro","{"Population": 746758}"
225,"São Bernardo do Campo",BRA,"São Paulo","{"Population": 723132}"
226,Teresina,BRA,Piauí,"{"Population": 691942}"
227,Natal,BRA,"Rio Grande do Norte","{"Population": 688955}"
228,Osasco,BRA,"São Paulo","{"Population": 659604}"
229,"Campo Grande",BRA,"Mato Grosso do Sul","{"Population": 649593}"
230,"Santo André",BRA,"São Paulo","{"Population": 630073}"
231,"João Pessoa",BRA,Paraíba,"{"Population": 584029}"
232,"Jaboatão dos Guararapes",BRA,Pernambuco,"{"Population": 558680}"
233,Contagem,BRA,"Minas Gerais","{"Population": 520801}"
234,"São José dos Campos",BRA,"São Paulo","{"Population": 515553}"
235,Uberlândia,BRA,"Minas Gerais","{"Population": 487222}"
236,"Feira de Santana",BRA,Bahia,"{"Population": 479992}"
237,"Ribeirão Preto",BRA,"São Paulo","{"Population": 473276}"
238,Sorocaba,BRA,"São Paulo","{"Population": 466823}"
239,Niterói,BRA,"Rio de Janeiro","{"Population": 459884}"
240,Cuiabá,BRA,"Mato Grosso","{"Population": 453813}"
241,"Juiz de Fora",BRA,"Minas Gerais","{"Population": 450288}"
242,Aracaju,BRA,Sergipe,"{"Population": 445555}"
243,"São João de Meriti",BRA,"Rio de Janeiro","{"Population": 440052}"
244,Londrina,BRA,Paraná,"{"Population": 432257}"
245,Joinville,BRA,"Santa Catarina","{"Population": 428011}"
246,"Belford Roxo",BRA,"Rio de Janeiro","{"Population": 425194}"
247,Santos,BRA,"São Paulo","{"Population": 408748}"
248,Ananindeua,BRA,Pará,"{"Population": 400940}"
249,"Campos dos Goytacazes",BRA,"Rio de Janeiro","{"Population": 398418}"
250,Mauá,BRA,"São Paulo","{"Population": 375055}"
251,Carapicuíba,BRA,"São Paulo","{"Population": 357552}"
252,Olinda,BRA,Pernambuco,"{"Population": 354732}"
253,"Campina Grande",BRA,Paraíba,"{"Population": 352497}"
254,"São José do Rio Preto",BRA,"São Paulo","{"Population": 351944}"
255,"Caxias do Sul",BRA,"Rio Grande do Sul","{"Population": 349581}"
256,"Moji das Cruzes",BRA,"São Paulo","{"Population": 339194}"
257,Diadema,BRA,"São Paulo","{"Population": 335078}"
258,"Aparecida de Goiânia",BRA,Goiás,"{"Population": 324662}"
259,Piracicaba,BRA,"São Paulo","{"Population": 319104}"
260,Cariacica,BRA,"Espírito Santo","{"Population": 319033}"
261,"Vila Velha",BRA,"Espírito Santo","{"Population": 318758}"
262,Pelotas,BRA,"Rio Grande do Sul","{"Population": 315415}"
263,Bauru,BRA,"São Paulo","{"Population": 313670}"
264,"Porto Velho",BRA,Rondônia,"{"Population": 309750}"
265,Serra,BRA,"Espírito Santo","{"Population": 302666}"
266,Betim,BRA,"Minas Gerais","{"Population": 302108}"
267,Jundíaí,BRA,"São Paulo","{"Population": 296127}"
268,Canoas,BRA,"Rio Grande do Sul","{"Population": 294125}"
269,Franca,BRA,"São Paulo","{"Population": 290139}"
270,"São Vicente",BRA,"São Paulo","{"Population": 286848}"
271,Maringá,BRA,Paraná,"{"Population": 286461}"
272,"Montes Claros",BRA,"Minas Gerais","{"Population": 286058}"
273,Anápolis,BRA,Goiás,"{"Population": 282197}"
274,Florianópolis,BRA,"Santa Catarina","{"Population": 281928}"
275,Petrópolis,BRA,"Rio de Janeiro","{"Population": 279183}"
276,Itaquaquecetuba,BRA,"São Paulo","{"Population": 270874}"
277,Vitória,BRA,"Espírito Santo","{"Population": 270626}"
278,"Ponta Grossa",BRA,Paraná,"{"Population": 268013}"
279,"Rio Branco",BRA,Acre,"{"Population": 259537}"
280,"Foz do Iguaçu",BRA,Paraná,"{"Population": 259425}"
281,Macapá,BRA,Amapá,"{"Population": 256033}"
282,Ilhéus,BRA,Bahia,"{"Population": 254970}"
283,"Vitória da Conquista",BRA,Bahia,"{"Population": 253587}"
284,Uberaba,BRA,"Minas Gerais","{"Population": 249225}"
285,Paulista,BRA,Pernambuco,"{"Population": 248473}"
286,Limeira,BRA,"São Paulo","{"Population": 245497}"
287,Blumenau,BRA,"Santa Catarina","{"Population": 244379}"
288,Caruaru,BRA,Pernambuco,"{"Population": 244247}"
289,Santarém,BRA,Pará,"{"Population": 241771}"
290,"Volta Redonda",BRA,"Rio de Janeiro","{"Population": 240315}"
291,"Novo Hamburgo",BRA,"Rio Grande do Sul","{"Population": 239940}"
292,Caucaia,BRA,Ceará,"{"Population": 238738}"
293,"Santa Maria",BRA,"Rio Grande do Sul","{"Population": 238473}"
294,Cascavel,BRA,Paraná,"{"Population": 237510}"
295,Guarujá,BRA,"São Paulo","{"Population": 237206}"
296,"Ribeirão das Neves",BRA,"Minas Gerais","{"Population": 232685}"
297,"Governador Valadares",BRA,"Minas Gerais","{"Population": 231724}"
298,Taubaté,BRA,"São Paulo","{"Population": 229130}"
299,Imperatriz,BRA,Maranhão,"{"Population": 224564}"
300,Gravataí,BRA,"Rio Grande do Sul","{"Population": 223011}"
301,Embu,BRA,"São Paulo","{"Population": 222223}"
302,Mossoró,BRA,"Rio Grande do Norte","{"Population": 214901}"
303,"Várzea Grande",BRA,"Mato Grosso","{"Population": 214435}"
304,Petrolina,BRA,Pernambuco,"{"Population": 210540}"
305,Barueri,BRA,"São Paulo","{"Population": 208426}"
306,Viamão,BRA,"Rio Grande do Sul","{"Population": 207557}"
307,Ipatinga,BRA,"Minas Gerais","{"Population": 206338}"
308,Juazeiro,BRA,Bahia,"{"Population": 201073}"
309,"Juazeiro do Norte",BRA,Ceará,"{"Population": 199636}"
310,"Taboão da Serra",BRA,"São Paulo","{"Population": 197550}"
311,"São José dos Pinhais",BRA,Paraná,"{"Population": 196884}"
312,Magé,BRA,"Rio de Janeiro","{"Population": 196147}"
313,Suzano,BRA,"São Paulo","{"Population": 195434}"
314,"São Leopoldo",BRA,"Rio Grande do Sul","{"Population": 189258}"
315,Marília,BRA,"São Paulo","{"Population": 188691}"
316,"São Carlos",BRA,"São Paulo","{"Population": 187122}"
317,Sumaré,BRA,"São Paulo","{"Population": 186205}"
318,"Presidente Prudente",BRA,"São Paulo","{"Population": 185340}"
319,Divinópolis,BRA,"Minas Gerais","{"Population": 185047}"
320,"Sete Lagoas",BRA,"Minas Gerais","{"Population": 182984}"
321,"Rio Grande",BRA,"Rio Grande do Sul","{"Population": 182222}"
322,Itabuna,BRA,Bahia,"{"Population": 182148}"
323,Jequié,BRA,Bahia,"{"Population": 179128}"
324,Arapiraca,BRA,Alagoas,"{"Population": 178988}"
325,Colombo,BRA,Paraná,"{"Population": 177764}"
326,Americana,BRA,"São Paulo","{"Population": 177409}"
327,Alvorada,BRA,"Rio Grande do Sul","{"Population": 175574}"
328,Araraquara,BRA,"São Paulo","{"Population": 174381}"
329,Itaboraí,BRA,"Rio de Janeiro","{"Population": 173977}"
330,"Santa Bárbara d´Oeste",BRA,"São Paulo","{"Population": 171657}"
331,"Nova Friburgo",BRA,"Rio de Janeiro","{"Population": 170697}"
332,Jacareí,BRA,"São Paulo","{"Population": 170356}"
333,Araçatuba,BRA,"São Paulo","{"Population": 169303}"
334,"Barra Mansa",BRA,"Rio de Janeiro","{"Population": 168953}"
335,"Praia Grande",BRA,"São Paulo","{"Population": 168434}"
336,Marabá,BRA,Pará,"{"Population": 167795}"
337,Criciúma,BRA,"Santa Catarina","{"Population": 167661}"
338,"Boa Vista",BRA,Roraima,"{"Population": 167185}"
339,"Passo Fundo",BRA,"Rio Grande do Sul","{"Population": 166343}"
340,Dourados,BRA,"Mato Grosso do Sul","{"Population": 164716}"
341,"Santa Luzia",BRA,"Minas Gerais","{"Population": 164704}"
342,"Rio Claro",BRA,"São Paulo","{"Population": 163551}"
343,Maracanaú,BRA,Ceará,"{"Population": 162022}"
344,Guarapuava,BRA,Paraná,"{"Population": 160510}"
345,Rondonópolis,BRA,"Mato Grosso","{"Population": 155115}"
346,"São José",BRA,"Santa Catarina","{"Population": 155105}"
347,"Cachoeiro de Itapemirim",BRA,"Espírito Santo","{"Population": 155024}"
348,Nilópolis,BRA,"Rio de Janeiro","{"Population": 153383}"
349,Itapevi,BRA,"São Paulo","{"Population": 150664}"
350,"Cabo de Santo Agostinho",BRA,Pernambuco,"{"Population": 149964}"
351,Camaçari,BRA,Bahia,"{"Population": 149146}"
352,Sobral,BRA,Ceará,"{"Population": 146005}"
353,Itajaí,BRA,"Santa Catarina","{"Population": 145197}"
354,Chapecó,BRA,"Santa Catarina","{"Population": 144158}"
355,Cotia,BRA,"São Paulo","{"Population": 140042}"
356,Lages,BRA,"Santa Catarina","{"Population": 139570}"
357,"Ferraz de Vasconcelos",BRA,"São Paulo","{"Population": 139283}"
358,Indaiatuba,BRA,"São Paulo","{"Population": 135968}"
359,Hortolândia,BRA,"São Paulo","{"Population": 135755}"
360,Caxias,BRA,Maranhão,"{"Population": 133980}"
361,"São Caetano do Sul",BRA,"São Paulo","{"Population": 133321}"
362,Itu,BRA,"São Paulo","{"Population": 132736}"
363,"Nossa Senhora do Socorro",BRA,Sergipe,"{"Population": 131351}"
364,Parnaíba,BRA,Piauí,"{"Population": 129756}"
365,"Poços de Caldas",BRA,"Minas Gerais","{"Population": 129683}"
366,Teresópolis,BRA,"Rio de Janeiro","{"Population": 128079}"
367,Barreiras,BRA,Bahia,"{"Population": 127801}"
368,Castanhal,BRA,Pará,"{"Population": 127634}"
369,Alagoinhas,BRA,Bahia,"{"Population": 126820}"
370,"Itapecerica da Serra",BRA,"São Paulo","{"Population": 126672}"
371,Uruguaiana,BRA,"Rio Grande do Sul","{"Population": 126305}"
372,Paranaguá,BRA,Paraná,"{"Population": 126076}"
373,Ibirité,BRA,"Minas Gerais","{"Population": 125982}"
374,Timon,BRA,Maranhão,"{"Population": 125812}"
375,Luziânia,BRA,Goiás,"{"Population": 125597}"
376,Macaé,BRA,"Rio de Janeiro","{"Population": 125597}"
377,"Teófilo Otoni",BRA,"Minas Gerais","{"Population": 124489}"
378,Moji-Guaçu,BRA,"São Paulo","{"Population": 123782}"
379,Palmas,BRA,Tocantins,"{"Population": 121919}"
380,Pindamonhangaba,BRA,"São Paulo","{"Population": 121904}"
381,"Francisco Morato",BRA,"São Paulo","{"Population": 121197}"
382,Bagé,BRA,"Rio Grande do Sul","{"Population": 120793}"
383,"Sapucaia do Sul",BRA,"Rio Grande do Sul","{"Population": 120217}"
384,"Cabo Frio",BRA,"Rio de Janeiro","{"Population": 119503}"
385,Itapetininga,BRA,"São Paulo","{"Population": 119391}"
386,"Patos de Minas",BRA,"Minas Gerais","{"Population": 119262}"
387,Camaragibe,BRA,Pernambuco,"{"Population": 118968}"
388,"Bragança Paulista",BRA,"São Paulo","{"Population": 116929}"
389,Queimados,BRA,"Rio de Janeiro","{"Population": 115020}"
390,Araguaína,BRA,Tocantins,"{"Population": 114948}"
391,Garanhuns,BRA,Pernambuco,"{"Population": 114603}"
392,"Vitória de Santo Antão",BRA,Pernambuco,"{"Population": 113595}"
393,"Santa Rita",BRA,Paraíba,"{"Population": 113135}"
394,Barbacena,BRA,"Minas Gerais","{"Population": 113079}"
395,Abaetetuba,BRA,Pará,"{"Population": 111258}"
396,Jaú,BRA,"São Paulo","{"Population": 109965}"
397,"Lauro de Freitas",BRA,Bahia,"{"Population": 109236}"
398,"Franco da Rocha",BRA,"São Paulo","{"Population": 108964}"
399,"Teixeira de Freitas",BRA,Bahia,"{"Population": 108441}"
400,Varginha,BRA,"Minas Gerais","{"Population": 108314}"
401,"Ribeirão Pires",BRA,"São Paulo","{"Population": 108121}"
402,Sabará,BRA,"Minas Gerais","{"Population": 107781}"
403,Catanduva,BRA,"São Paulo","{"Population": 107761}"
404,"Rio Verde",BRA,Goiás,"{"Population": 107755}"
405,Botucatu,BRA,"São Paulo","{"Population": 107663}"
406,Colatina,BRA,"Espírito Santo","{"Population": 107354}"
407,"Santa Cruz do Sul",BRA,"Rio Grande do Sul","{"Population": 106734}"
408,Linhares,BRA,"Espírito Santo","{"Population": 106278}"
409,Apucarana,BRA,Paraná,"{"Population": 105114}"
410,Barretos,BRA,"São Paulo","{"Population": 104156}"
411,Guaratinguetá,BRA,"São Paulo","{"Population": 103433}"
412,Cachoeirinha,BRA,"Rio Grande do Sul","{"Population": 103240}"
413,Codó,BRA,Maranhão,"{"Population": 103153}"
