identifierHash,type,country,language,socialNbFollowers,socialNbFollows,socialProductsLiked,productsListed,productsSold,productsPassRate,productsWished,productsBought,gender,civilityGenderId,civilityTitle,hasAnyApp,hasAndroidApp,hasIosApp,hasProfilePicture,daysSinceLastLogin,seniority,seniorityAsMonths,seniorityAsYears,countryCode
-7279641312655250028,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,709,3205,106.83,8.9,us
-1456013578740053406,user,Allemagne,de,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,709,3205,106.83,8.9,de
9006282053848196165,user,Suède,en,3,8,0,0,0,0.0,0,0,M,1,mr,True,False,True,True,689,3205,106.83,8.9,se
-7154634866120535654,user,Turquie,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,709,3205,106.83,8.9,tr
2858299215060733023,user,France,en,3,8,0,0,0,0.0,0,0,M,1,mr,True,False,True,True,709,3205,106.83,8.9,fr
-8370972521561479983,user,Royaume-Uni,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,709,3205,106.83,8.9,gb
-7877915015908472168,user,Royaume-Uni,en,3,8,4,0,0,0.0,0,0,F,2,mrs,False,False,False,True,591,3205,106.83,8.9,gb
7455841332634807036,user,Italie,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,True,True,False,True,709,3205,106.83,8.9,it
4607255007288453096,user,Italie,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,True,True,False,True,701,3205,106.83,8.9,it
-7302797141205914253,user,France,en,3,8,0,0,0,0.0,0,0,M,1,mr,True,False,True,True,703,3205,106.83,8.9,fr
-6727673442828273069,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,709,3205,106.83,8.9,us
-3703523845250928186,user,Espagne,es,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,709,3205,106.83,8.9,es
2543719509187236735,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,709,3205,106.83,8.9,us
-4116451590548020613,user,Royaume-Uni,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,709,3205,106.83,8.9,gb
6412144644819322909,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,709,3205,106.83,8.9,us
-531871068406637242,user,Espagne,es,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,709,3205,106.83,8.9,es
6359422170336773354,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,558,3205,106.83,8.9,us
-8231936648814680895,user,Danemark,en,3,8,370,0,0,0.0,1,0,F,2,mrs,False,False,False,True,42,3205,106.83,8.9,dk
5663923945758514393,user,Etats-Unis,en,3,8,1,0,0,0.0,0,0,F,2,mrs,False,False,False,True,32,3205,106.83,8.9,us
-9170487442747331639,user,France,fr,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,276,3205,106.83,8.9,fr
1646778745204735999,user,Royaume-Uni,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,708,3205,106.83,8.9,gb
3758397414709190733,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,709,3205,106.83,8.9,us
-622074129810321601,user,Allemagne,de,6,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,423,3205,106.83,8.9,de
7956946184936459597,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,709,3205,106.83,8.9,fr
-3992188024952111221,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,603,3205,106.83,8.9,us
4485470375358832088,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,709,3205,106.83,8.9,fr
-7769538716399340177,user,Réunion,en,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,709,3205,106.83,8.9,re
-3483039296670050121,user,Allemagne,de,3,8,27,0,0,0.0,0,0,M,1,mr,True,False,True,True,669,3205,106.83,8.9,de
8289779812823004887,user,Allemagne,de,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,338,3205,106.83,8.9,de
3451396970677435825,user,Suisse,en,3,8,0,0,0,0.0,9,0,F,2,mrs,True,True,False,True,463,3205,106.83,8.9,ch
-227881497406555748,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,709,3205,106.83,8.9,us
-2333920482941965751,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,709,3205,106.83,8.9,us
7490067334348111436,user,Suède,en,3,8,0,0,0,0.0,0,0,M,1,mr,True,False,True,True,700,3205,106.83,8.9,se
-8347005624034086122,user,Italie,it,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,709,3205,106.83,8.9,it
8060741506454634223,user,Italie,it,3,8,0,0,0,0.0,0,0,F,2,mrs,True,True,False,True,709,3205,106.83,8.9,it
8948577279243501231,user,France,fr,3,8,0,0,0,0.0,0,0,M,1,mr,True,False,True,True,709,3205,106.83,8.9,fr
7575655528468122585,user,Allemagne,de,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,709,3205,106.83,8.9,de
7664942281942738190,user,Danemark,en,3,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,676,3205,106.83,8.9,dk
6144981526898238985,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,709,3205,106.83,8.9,us
5000627838204586319,user,Royaume-Uni,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,709,3205,106.83,8.9,gb
877323779122834190,user,Espagne,es,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,497,3205,106.83,8.9,es
-5310722561526223811,user,Royaume-Uni,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,159,3205,106.83,8.9,gb
-684114964629443184,user,Chili,es,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,709,3205,106.83,8.9,cl
5838516385022128357,user,Danemark,en,3,8,2,0,0,0.0,1,0,M,1,mr,False,False,False,True,540,3205,106.83,8.9,dk
5820830358809023816,user,Royaume-Uni,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,709,3205,106.83,8.9,gb
931996820916670147,user,Djibouti,en,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,709,3205,106.83,8.9,dj
-1369438276320193587,user,France,fr,31,8,0,1,1,0.0,0,1,F,2,mrs,True,False,True,False,127,3205,106.83,8.9,fr
1465760575394143236,user,Italie,it,3,8,0,0,0,0.0,0,0,M,1,mr,True,False,True,True,709,3205,106.83,8.9,it
-5535913608348998940,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,709,3205,106.83,8.9,us
6299817353206744332,user,Italie,it,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,667,3205,106.83,8.9,it
552650142297123453,user,Congo,fr,3,8,1,0,0,0.0,0,0,F,2,mrs,False,False,False,True,709,3205,106.83,8.9,cg
-6589093921826008799,user,Etats-Unis,en,3,9,1,0,0,0.0,14,1,M,1,mr,False,False,False,True,26,3205,106.83,8.9,us
-4278088778011454937,user,Royaume-Uni,en,3,8,0,0,0,0.0,0,0,M,1,mr,True,False,True,True,709,3205,106.83,8.9,gb
7865269661166589305,user,Espagne,es,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,709,3205,106.83,8.9,es
5927909029433253945,user,Irlande,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,709,3205,106.83,8.9,ie
4608391209109032901,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,633,3205,106.83,8.9,us
8807292810570608287,user,Italie,it,3,8,0,0,0,0.0,0,0,M,1,mr,True,False,True,True,709,3205,106.83,8.9,it
-5161663827273418736,user,Etats-Unis,en,3,8,1,0,0,0.0,0,0,F,2,mrs,False,False,False,True,709,3205,106.83,8.9,us
-8371594748132153930,user,France,fr,3,8,0,0,0,0.0,0,0,M,1,mr,True,False,True,True,701,3205,106.83,8.9,fr
2214003893005482369,user,Canada,fr,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,709,3205,106.83,8.9,ca
-4516979452612045441,user,Etats-Unis,de,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,709,3205,106.83,8.9,us
15492741724380004,user,Espagne,es,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,17,3205,106.83,8.9,es
5565027713331848494,user,Suède,en,3,8,8,0,0,0.0,0,0,F,2,mrs,True,False,True,True,390,3205,106.83,8.9,se
-6173421044956360836,user,Espagne,es,3,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,709,3205,106.83,8.9,es
-6760717155967720233,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,651,3205,106.83,8.9,us
3195114133065761857,user,Espagne,es,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,709,3205,106.83,8.9,es
8967528144571384825,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,630,3205,106.83,8.9,us
7690387332871946938,user,France,fr,3,8,12,0,0,0.0,2,0,F,2,mrs,True,True,False,True,566,3205,106.83,8.9,fr
-8731427890514331015,user,Italie,it,3,8,0,0,0,0.0,0,0,F,3,miss,False,False,False,True,709,3205,106.83,8.9,it
-9063435853734378443,user,France,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,709,3205,106.83,8.9,fr
-9165265304562596129,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,709,3205,106.83,8.9,fr
1271293748411401028,user,France,en,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,709,3205,106.83,8.9,fr
2689640677785483372,user,France,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,490,3205,106.83,8.9,fr
-9018116070920654681,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,709,3205,106.83,8.9,us
-752704205906591069,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,709,3205,106.83,8.9,us
855158285979421013,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,709,3205,106.83,8.9,us
-4589687237769636353,user,Royaume-Uni,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,709,3205,106.83,8.9,gb
607013487365108276,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,709,3205,106.83,8.9,us
9014605323998061864,user,Martinique,fr,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,709,3205,106.83,8.9,mq
5075750354297569635,user,France,fr,3,9,13,0,0,0.0,2,0,F,2,mrs,True,False,True,True,63,3205,106.83,8.9,fr
7873458042813667459,user,France,fr,3,8,0,0,0,0.0,0,0,M,1,mr,True,False,True,True,709,3205,106.83,8.9,fr
-3876567096978681060,user,Allemagne,de,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,709,3205,106.83,8.9,de
-926988314088477658,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,M,1,mr,False,False,False,True,709,3205,106.83,8.9,us
639163564995776668,user,Italie,it,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,709,3205,106.83,8.9,it
-3514875437984398784,user,Danemark,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,709,3205,106.83,8.9,dk
-937288556484695351,user,Suède,en,5,8,0,0,0,0.0,107,1,M,1,mr,False,False,False,True,543,3205,106.83,8.9,se
8297823107386968211,user,Espagne,es,3,8,0,0,0,0.0,0,0,F,2,mrs,True,False,True,True,701,3205,106.83,8.9,es
4714380472214762447,user,Etats-Unis,en,3,8,0,0,0,0.0,0,0,F,2,mrs,False,False,False,True,709,3205,106.83,8.9,us
